,Questions,Correct,A,B,C,D,Category
772,"Bill Robinsons style of dance emphasizes clean toe taps. Which tap great developed a style that put emphasis on percussive heel stomps?
",John W. Bubbles,Chuck Green,John W. Bubbles,George Primrose,Cholly  Atkins,humanities
773,"Clayton Bates was an excellent tap dancer who lived from 1907-1998. What was special about his tap dancing?
",He had one leg.,He combined ballet and tap.,He had one leg.,He danced on sand and salt.,He tapped shoeless.,humanities
774,"This tap dancing great was born in Fitzgerald, Georgia in 1919. He became a star and toured  throughout the South as a youngster. He later formed the successful group Chuck and Chuckles. Who was he?
",Chuck Green,Jimmy Doyle,Charlie Dixon,Chuck Martyn,Chuck Green,humanities
775,"What was unique about Howard Simms tap dancing style?
",He danced on a 3 square foot plank.,He danced on a 3 square foot plank.,He danced backwards.,He did acrobatics while dancing.,He danced barefooted.,humanities
776,"They were a great tap dancing duo. Their names were Harold and Fayard. They received no formal training but  were considered the greatest dancing  duo in history. What was the name of their act?
",The Nicholas Brothers,The  Syncopates,The Berry Brothers,The Nicholas Brothers,Hines and Hines,humanities
777,"He first became famous dancing with Cholly Atkins but later had a single career. He was in  Dirty Dancing and won a Tony Award for My One and Only. Who was he?
",Honi Coles,Honi Coles,Johnny Browne,Fayard Berry,Eddie Lee Parker,humanities
778,"He was born in 1943 in NYC and began studying dance at five. He teamed with his brother and dad to form a very popular TV and Las Vegas act. He was the first African-American to direct at Radio City Music Hall. Who is he?
",Maurice Hines,Watson Hines,Thaddeus Hines,Maurice Hines,Gregory Hines,humanities
779,"Sammy Davis, Jr. was a great tap dancer, actor, singer, comic actor, and a member of the Rat Pack.  What was the name of the act that led to his fame?
",The Will Mastin Trio,The Hoofers,The Stylistics,The Will Mastin Trio,The Tappers,humanities
780,"What step is defined as a solo tap dance with sharp foot accents, springs, leg flings, and heel clicks.?
",Buck and wing,slap step,Buffalo,ball change,Buck and wing,humanities
781,"What does the word hoxter mean?
",the inside pocket on a suit or coat,the inside pocket on a suit or coat,someone who teaches magic,one who advocates equal rights for men,any drug which relieves depression,humanities
782,"What does a tegestologist do?
",collects beer mugs and beer coasters,predicts the movement of stellar objects,collects beer mugs and beer coasters,studies porcelain and items made of porcelain,trades with old coins and notes,humanities
783,"Which of these is the meaning of the word quodlibertarian?
",a pedantic person who engages in elaborate arguments about minor things,a pedantic person who engages in elaborate arguments about minor things,someone who either has been married four times or who is married to four people,a person who will testify to anything for the right price,one who can talk about numerous subjects,humanities
784,"What is the definition of the word buccula?
",a double chin,an extremely ugly young woman,a person with huge eyebrows,a double chin,a piece of firewood,humanities
785,"What is the meaning of the world kalling?
",fortunetelling based on what variety of cabbage a blindfolded person picks,a headache which covers the entire head,the use of foul or abusive language to relieve stress or ease pain,living under rocks,fortunetelling based on what variety of cabbage a blindfolded person picks,humanities
786,"What does the word tarantism mean?
",an urge to overcome melancholy by dancing,the act of eating raw flesh,an urge to overcome melancholy by dancing,tyrannical rulership of a woman by her husband,showing off by using words,humanities
787,"What is the meaning of estivation?
",going somewhere for the summer,the act of building a nest,going somewhere for the summer,"the art of creating new words to represent entire sentences, or shorthand notation",eating snakes,humanities
788,"Tomecide is a word referring to which of the following?
",murdering or destroying a book,the philosophy that society is built upon individuals helping each other,murdering or destroying a book,a neurosis caused by serving in the military,a place with few or no men,humanities
789,"Which of these is the definition for the word funkify?
",to run away in fear,to cause a frog or a toad to fly through the air,to run away in fear,"to quickly eat ones meal, not taking time to savor it",to spend all your time trying to make money,humanities
790,"What does the word hadeharia refer to?
",the practice of constantly using the word hell in speaking,a government of saints,anything considered holy or sacred,the practice of constantly using the word hell in speaking,the crime of beating a person in their own home,humanities
791,"What was the name of the riverboat in the Kern/Hammerstein musical, Showboat?
",Cotton Blossom,Lady Lily,Mississippi Rambler,Mississippi Belle,Cotton Blossom,humanities
792,"The song Ole Man River from Showboat was written for a notorious basso. Although not in the original production, this basso came on board for the revival in 1932. Who was he?
",Paul Robeson,Robert Goulet,William Warfield,John Raitt,Paul Robeson,humanities
793,"What was the name of Laurie Williams creepy farm-hand stalker in Oklahoma!?
",Jud Fry,Will Parker,Jud Fry,Andrew Carnes,Ali Hakim,humanities
794,"In South Pacific what circumstance of Emile de Becque at first repulsed naive nurse, Nellie Forbush and threatened their Enchanted love for one another.
",He had two inter-racial children from a former marriage.,He was a secret Nazi sympathizer.,He had two inter-racial children from a former marriage.,He had a third nipple.,He cultivated his plantation using slave labor.,humanities
795,"What was unusual about Luther Billiss performance of Honey Bun in South Pacific?
",He performed it in drag.,He performed it in drag.,He performed it in both Act 1 and Act 2.,He performed it in the shower.,He performed it off stage.,humanities
796,"Who composed the music for West Side Story?
",Leonard Bernstein,Stephen Sondheim,Leonard Bernstein,Andrew Lloyd Webber,Oscar Hammerstein,humanities
797,"Which of the following actors was not a performer in the original Broadway production of Hair?
",Matthew Broderick,Matthew Broderick,Ben Vereen,Meatloaf,Keith Carradine,humanities
798,"I Enjoy Being a Girl is from what Broadway musical?
",Flower Drum Song,La Cage aux Folles,Flower Drum Song,Legally Blond,Oklahoma!,humanities
799,"Which cat sings Memory in the Andrew Lloyd Weber hit musical, Cats?
",Grizabella,Griddlebone,Jemina,Jellylorum,Grizabella,humanities
800,"The musical Miss Saigon is based on what classical opera?
",Madame Butterfly,The Mikado,Pirates of Penzance,Madame Butterfly,La Boheme,humanities
801,"Where do Christine and Raoul sing their love duet, All I Ask of You in The Phantom of the Opera?
",On the roof of the Paris Opera House,On stage during a performance of Il Muto,In box 5 during a performance of Il Muto,On the roof of the Paris Opera House,On the grand staircase of the Paris Opera House,humanities
802,"In Wicked Elfaba puts a spell on the monkeys enabling them to fly. Why did she cast the spell which earned her the loyalty of the monkeys?
",To save them from the clutches of the Wizard,To save them from the approaching tornado,To save them from the lions,To save them from the clutches of the Wizard,To save them from Glenda who had them caged as pets,humanities
803,"Who was the mother of Zeus?
",Rhea,Maia,Hera,Gaia,Rhea,humanities
804,"In Greek mythology, is Semele the mother of Hermes?
",No,Yes,No,,,humanities
805,"Is Maia the mother of Dionysus, the Greek god of wine?
",No,Yes,No,,,humanities
806,"Who is the mother of the nine muses in Greek mythology?
",Mnemosyne,Mnemosyne,Urania,Melpomene,Clio,humanities
807,"Who is the mother of the Greek god Hephaestus?
",Hera,Artimas,Athena,Hera,Aphrodite,humanities
808,"Does the Greek goddess of love, Aphrodite, have a mother?
",No,No,Yes,,,humanities
809,"Who is the mother of Athena, the goddess of wisdom?
",Metis,Metis,Thaila,Echo,none of these,humanities
810,"The term lesbian is derived from the name of a Greek island.
",True,False,True,,,humanities
811,"The first legends about werewolves originated on this continent.
",Europe,Asia,Africa,Europe,South America,humanities
812,"According to legends, a human can initiate their transformation into a werewolf if they drink rainwater from this source.
",Wolfs footprint,All of these,Dogs water bowl,Rainwater collected on a rooftop,Wolfs footprint,humanities
813,"What metal are werewolves afraid of according to modern legends and stories?
",Silver,Gold,Copper,Iron,Silver,humanities
814,"What method of turning a werewolf back into a normal human being was practiced during the Middle Ages?
",All of these,Exorcism,Medical treatment,All of these,Surgery,humanities
815,"People suffering from this mental disorder believe they are able to turn into wolves or werewolves, or any other animal form.
",Clinical lycanthropy,Lupus,Wolf psychiatric syndrome,Split canid personality,Clinical lycanthropy,humanities
816,"What physical characteristic was used in the past as an indicator that a werewolf is in their human form?
",All of these,All of these,Unibrow,Curved nails,Low set ears,humanities
817,"What type of people turn into werewolves according to Scandinavian mythology?
",Old women,Murderers,Orphans,Old women,Homeless people,humanities
818,"What accident turns Jack Nicholsons character into a werewolf in the 1994 horror movie Wolf?
",He is bitten by a wolf.,He is bitten by a wolf.,He is struck by lightning.,He almost drowns and is saved by a wolf.,He finds a cursed statue and takes it home.,humanities
819,"According to Greek mythology, Lycaon, king of Arcadia, was turned into a werewolf-like creature because he served Zeus a dish of which of the following?
",Lycaons child,A wolf,Lycaons child,A dog,Lycaons servant,humanities
820,"What does the wolf-like creature called nahual steal from people according to Mexican legends?
",Cheese,Children,Sheep,Chickens,Cheese,humanities
821,"In this passionate and dramatic dance, the man plays the part of a matador and the lady usually represents his cape.
",Paso Doble,Bolero,Paso Doble,Flamenco,Tango,humanities
822,"Abrazo, ocho, caminada and giro are terms typically associated with this dance that originated in South America.
",Argentinian tango,Argentinian tango,Rumba,Salsa,Mambo,humanities
823,"What 1995 film, directed by Carlos Saura, features performances by Paco de LucÃ­a, JoaquÃ­n CortÃ©s and Manolo SanlÃºcar?
",Flamenco,Carmen,Bolero,Tango,Flamenco,humanities
824,"Pas de basque, pas de chat, pas de deux are terms related to ballet. What does the French word pas mean in English?
",step,position,jump,step,turn,humanities
825,"Which Latin dance is not performed in International Style Ballroom competitions?
",Merengue,Rumba,Samba,Cha-cha-cha,Merengue,humanities
